12	16	14	39	BLUE
12	16	15	41	BLUE
12	17	16	43	BLUE
12	17	17	44	BLUE
13	18	17	46	BLUE
13	19	18	48	BLUE
13	20	19	49	BLUE
13	18	18	46	BLUE
12	17	16	43	BLUE
12	17	16	42	BLUE
11	17	17	45	BLUE
12	19	19	46	BLUE
11	18	18	45	BLUE
11	18	18	45	BLUE
11	17	17	43	BLUE
11	18	19	48	BLUE
12	22	23	56	BLUE
13	24	26	62	BLUE
14	26	28	64	BLUE
14	25	28	65	BLUE
14	27	30	67	BLUE
15	28	31	70	BLUE
15	28	31	69	BLUE
15	27	30	68	BLUE
16	29	33	73	BLUE
17	31	35	77	BLUE
17	32	37	82	BLUE
19	35	41	90	BLUE
20	36	42	90	BLUE
19	34	39	85	BLUE
18	32	37	80	BLUE
17	31	35	75	BLUE
16	28	31	68	BLUE
14	26	30	67	BLUE
14	26	29	65	BLUE
14	24	27	59	BLUE
13	23	24	56	BLUE
12	21	23	53	BLUE
12	21	22	51	BLUE
11	20	22	51	BLUE
12	21	22	51	BLUE
11	19	20	47	BLUE
11	18	18	44	BLUE
11	18	19	46	BLUE
11	19	20	47	BLUE
11	19	20	47	BLUE
11	19	20	48	BLUE
11	20	22	50	BLUE
11	20	22	50	BLUE
11	20	22	51	BLUE
11	20	22	50	BLUE
11	20	21	49	BLUE
11	19	20	48	BLUE
11	20	22	52	BLUE
12	22	24	56	BLUE
13	23	25	56	BLUE
13	22	23	55	BLUE
13	23	26	60	BLUE
14	27	30	67	BLUE
16	29	33	73	BLUE
16	30	33	74	BLUE
16	29	33	73	BLUE
16	29	33	74	BLUE
17	30	33	75	BLUE
17	31	35	78	BLUE
17	31	34	76	BLUE
16	28	31	69	BLUE
15	27	31	71	BLUE
16	29	33	73	BLUE
15	27	30	67	BLUE
14	28	33	72	BLUE
16	33	39	88	BLUE
20	41	47	103	BLUE
23	47	57	122	BLUE
24	51	61	130	BLUE
24	54	70	153	BLUE
27	61	67	152	BLUE
29	68	80	172	BLUE
27	57	62	142	BLUE
25	58	64	144	BLUE
26	60	65	146	BLUE
31	73	87	183	BLUE
22	48	50	106	BLUE
16	33	33	73	BLUE
13	21	22	53	BLUE
11	17	16	41	BLUE
10	15	14	36	BLUE
9	13	12	33	BLUE
9	12	10	30	BLUE
9	12	10	29	BLUE
10	12	9	29	BLUE
10	11	9	29	BLUE
10	12	9	30	BLUE
10	12	9	30	BLUE
10	11	9	29	BLUE
10	11	9	28	BLUE
9	11	9	28	BLUE
9	12	10	30	BLUE
9	12	11	31	BLUE
9	13	12	34	BLUE
10	14	14	37	BLUE
10	16	17	43	BLUE
11	20	21	49	BLUE
11	18	18	43	BLUE
10	15	15	36	BLUE
10	13	11	33	BLUE
10	13	11	33	BLUE
10	13	11	33	BLUE
10	13	10	32	BLUE
10	12	11	32	BLUE
10	13	11	33	BLUE
9	13	12	34	BLUE
9	14	14	37	BLUE
9	16	16	40	BLUE
10	17	18	43	BLUE
11	20	22	54	BLUE
14	24	26	61	BLUE
14	24	26	60	BLUE
14	23	26	58	BLUE
12	20	21	45	BLUE
10	15	14	36	BLUE
9	13	12	33	BLUE
9	14	13	34	BLUE
10	14	13	34	BLUE
9	13	12	32	BLUE
9	12	11	31	BLUE
9	12	11	30	BLUE
9	12	11	31	BLUE
9	13	12	34	BLUE
10	13	12	33	BLUE
9	12	10	30	BLUE
9	12	10	31	BLUE
10	12	11	31	BLUE
9	13	11	33	BLUE
10	14	12	36	BLUE
12	15	13	39	BLUE
12	15	13	39	BLUE
13	16	14	41	BLUE
13	16	14	42	BLUE
13	17	16	45	BLUE
13	18	19	49	BLUE
15	25	27	64	BLUE
16	27	26	60	BLUE
13	19	18	45	BLUE
12	17	16	42	BLUE
12	16	15	40	BLUE
11	15	14	38	BLUE
10	16	15	39	BLUE
10	18	18	44	BLUE
11	18	19	46	BLUE
10	16	17	40	BLUE
9	16	17	40	BLUE
9	17	18	43	BLUE
10	18	21	48	BLUE
12	21	24	53	BLUE
10	19	21	46	BLUE
10	18	20	46	BLUE
10	19	21	50	BLUE
12	21	24	53	BLUE
13	21	21	51	BLUE
12	19	19	47	BLUE
12	18	19	44	BLUE
12	16	15	38	BLUE
10	14	13	34	BLUE
9	13	12	32	BLUE
9	13	12	32	BLUE
10	13	12	32	BLUE
10	13	11	32	BLUE
10	12	10	30	BLUE
10	11	9	28	BLUE
9	10	9	26	BLUE
8	10	8	26	BLUE
9	11	9	27	BLUE
9	11	9	28	BLUE
9	12	10	30	BLUE
10	13	12	34	BLUE
11	14	13	38	BLUE
